poi_id,name,destination,category,subcategory,description,tags,latitude,longitude,price_level,rating,review_count,popularity,expected_duration,opening_time,closing_time,reservation_required,family_friendly,public_transport_access,tourist_level
P0001,Hidden Food Experience Pune 1,Pune,food,street_food,"A street food in Pune focused on local, authentic.",local|authentic,18.498978,73.777908,4,4.32,207,0.32,30,09:00,18:00,False,True,True,0.667
P0002,City Nightlife Mumbai 2,Mumbai,entertainment,theater,"A theater in Mumbai focused on experience, social.",experience|social,19.183301,72.752275,3,4.39,1521,0.958,180,10:00,17:00,True,True,False,0.624
P0003,Historic Palace Delhi 3,Delhi,historical,heritage_site,"A heritage site in Delhi focused on architecture, culture, history, heritage.",architecture|culture|history|heritage,28.47364,76.996589,1,3.99,184,0.514,180,10:00,17:00,False,False,True,0.481
P0004,Cultural Family Activity Goa 4,Goa,activity,workshop,"A workshop in Goa focused on activity, fun, interactive, experience.",activity|fun|interactive|experience,15.51807,74.05091,2,4.81,614,0.679,60,09:00,22:00,False,False,True,0.831
P0005,Heritage Monument Goa 5,Goa,historical,palace,"A palace in Goa focused on architecture, history, heritage, culture.",architecture|history|heritage|culture,15.615254,73.98359,4,3.89,469,0.456,45,09:00,22:00,False,True,True,0.903
P0006,City Art Mumbai 6,Mumbai,museum,cultural,"A cultural in Mumbai focused on culture, education.",culture|education,18.931818,72.766491,2,3.89,139,0.534,90,08:00,20:00,False,False,True,0.973
P0007,Craft Market Delhi 7,Delhi,shopping,mall,"A mall in Delhi focused on shopping, market, local.",shopping|market|local,28.483466,77.067383,2,4.21,24,0.399,30,10:00,22:00,False,True,True,0.203
P0008,Cultural Family Activity Delhi 8,Delhi,activity,family_activity,"A family activity in Delhi focused on experience, activity, fun.",experience|activity|fun,28.455843,77.314549,1,3.32,124,0.252,90,08:00,21:00,False,True,True,0.572
P0009,Green Waterfall Mumbai 9,Mumbai,nature,beach,"A beach in Mumbai focused on relaxation, scenic, outdoor.",relaxation|scenic|outdoor,19.039647,72.98509,1,3.64,356,0.429,30,10:00,17:00,False,True,True,0.117
P0010,Local Local Restaurant Pune 10,Pune,food,street_food,"A street food in Pune focused on neighborhood, local, authentic, food.",neighborhood|local|authentic|food,18.464171,73.797601,2,3.69,44,0.479,180,11:00,18:00,True,False,True,0.441
P0011,Artisan Local Area Pune 11,Pune,neighborhood,old_town,"A old town in Pune focused on neighborhood, culture.",neighborhood|culture,18.610119,73.771854,4,4.76,186,0.371,45,10:00,20:00,True,False,True,0.868
P0012,Street Street Food Pune 12,Pune,food,local_restaurant,"A local restaurant in Pune focused on neighborhood, food.",neighborhood|food,18.635273,73.919739,4,4.13,44,0.301,90,08:00,18:00,False,False,True,0.795
P0013,Royal Cinema Bengaluru 13,Bengaluru,entertainment,live_music,"A live music in Bengaluru focused on entertainment, nightlife.",entertainment|nightlife,12.906969,77.51531,3,3.86,279,0.339,120,11:00,21:00,False,True,True,0.532
P0014,Historic Heritage Site Delhi 14,Delhi,historical,palace,"A palace in Delhi focused on heritage, architecture, history, culture.",heritage|architecture|history|culture,28.571133,77.320798,4,3.58,384,0.582,120,10:00,19:00,True,False,True,0.426
P0015,Historic Fort Goa 15,Goa,historical,fort,"A fort in Goa focused on history, architecture.",history|architecture,15.433314,74.199227,2,3.83,172,0.446,45,10:00,17:00,False,True,True,0.842
P0016,Grand Market Delhi 16,Delhi,shopping,market,"A market in Delhi focused on shopping, market.",shopping|market,28.731679,76.917146,2,3.83,2259,1.0,120,09:00,22:00,False,False,False,0.53
P0017,Local Cultural District Pune 17,Pune,neighborhood,old_town,"A old town in Pune focused on culture, local.",culture|local,18.458817,73.816711,4,4.09,68,0.428,90,08:00,17:00,True,False,False,0.568
P0018,National Cultural Bengaluru 18,Bengaluru,museum,art,"A art in Bengaluru focused on education, museum.",education|museum,12.942478,77.719694,2,4.47,56,0.482,60,11:00,21:00,False,False,True,0.204
P0019,National History Museum Pune 19,Pune,museum,science,"A science in Pune focused on culture, history, museum, education.",culture|history|museum|education,18.606477,73.832343,4,4.19,23,0.525,180,11:00,18:00,True,False,True,0.83
